siteid,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23
50010210000001,10,7,7,8,7,7,7,7,7,8,8,8,8,8,8,9,10,9,6,8,9,9,9,9
50010210000053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
50010210000059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50010210000061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
50010210000062,2,2,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,2
50010210000067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
50010210000071,2,2,2,2,1,1,1,1,1,0,0,0,0,1,7,9,12,6,4,2,2,1,1,2
50010210000079,1,0,0,0,0,0,0,0,0,3,3,4,3,3,3,3,4,4,2,1,1,0,1,1
50010210000094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
50010310000011,20,14,8,7,7,3,2,0,0,0,1,2,2,3,4,4,4,4,6,6,11,15,20,20
50010310000025,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,3,3
50010310000029,8,10,11,11,11,11,11,11,10,9,9,8,8,6,6,6,6,6,6,5,6,6,6,7
50010310000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
50010310000041,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50010310000102,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,6,4,5
50010310000144,156,153,153,153,153,153,152,151,154,155,157,156,161,162,159,160,162,160,160,155,158,158,158,156
50010310000247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
50010510000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
50010510000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50010510000008,2,2,2,2,2,2,2,1,0,0,1,1,2,3,3,2,1,1,2,2,2,2,2,3
50010510000010,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,1,2,5,4,1,1,1,1
50010510000012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
50010510000020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1
50010510000023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
50010510000025,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
50010510000026,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0
50010510000032,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50010510000035,1,1,1,3,3,3,2,2,1,1,3,2,2,3,2,2,3,5,2,2,2,2,2,1
50010510000039,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,0,0,0,0,0,0
50010510000044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50010510000048,2,2,1,1,1,1,1,1,1,0,1,0,0,4,4,4,2,0,0,0,3,3,2,2
50010510000050,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
50010510000052,5,4,4,4,4,4,4,5,3,3,3,2,2,2,2,1,1,1,1,1,4,4,4,4
50010510000054,1,0,0,0,0,0,1,0,1,1,2,3,4,4,4,6,5,4,2,2,1,2,2,1
50010510000058,0,0,0,0,0,0,1,1,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
50010510000060,8,7,7,6,7,7,7,8,4,9,13,16,20,23,23,28,36,35,23,17,13,12,10,11
50010510000061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50010510000063,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,1,2,1,1,1,0,0
50010510000064,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,9,10,10,8,1,0,1,1
50010510000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
50010510000071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,0
50010510000076,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
50010510000080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
50010510000081,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50010510000083,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,0,0,0,0,0,0
50010510000092,2,2,3,2,2,2,3,3,1,1,2,3,3,3,4,4,2,1,1,1,1,2,1,1
50010510000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
50010510000106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0
50010510000110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
50010510000111,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50010510000114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,2,1,0,0,0,0
50010510000117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
50010510000121,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
50010510000130,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
50010510000131,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50010510000132,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
50010510000134,2,2,2,2,2,2,2,2,2,2,2,1,2,4,3,3,3,4,2,1,1,1,1,2
50010510000135,1,1,0,0,0,0,0,0,0,0,3,6,4,4,2,2,2,1,1,1,0,0,0,1
50010510000136,2,2,2,2,2,3,4,4,3,2,1,1,3,4,4,6,8,5,4,3,3,4,3,2
50010510000137,11,9,8,9,9,9,8,6,3,3,8,11,13,15,17,19,21,24,23,22,10,9,10,12
50010510000139,2,2,2,2,2,2,4,4,3,3,0,0,0,0,0,2,2,2,1,4,4,5,3,2
50010510000140,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,2
50010510000149,2,1,1,1,1,1,1,1,1,0,1,1,4,6,4,4,5,3,3,2,1,3,2,2
50010510000151,1,2,2,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0
50010510000152,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50010510000158,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50010610006001,10,9,7,7,7,8,8,7,5,6,7,6,8,12,13,12,13,13,15,15,14,16,14,14
50010610009037,6,15,22,21,19,17,9,7,1,2,4,6,6,4,3,3,3,0,0,0,2,3,4,6
50010710000034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
50010710000042,2,1,1,1,1,1,1,1,0,0,0,0,1,1,2,2,2,2,2,1,1,1,1,1
50010710000113,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,1,0,0,0,0,0
50010710000259,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
50010710001025,0,0,0,0,0,0,0,0,1,0,1,2,2,4,4,10,7,5,0,0,1,0,2,0
50010710001056,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0,0,1,1,1,1,1
50010710001083,0,0,0,0,0,0,0,0,0,1,4,2,2,1,1,0,0,0,0,0,0,0,0,0
50010810000156,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
50011010000025,9,10,11,10,11,11,11,11,13,9,8,8,13,16,14,14,14,9,9,8,8,8,8,11
50011010000029,1,1,1,1,2,2,3,4,2,3,3,4,12,12,5,4,5,10,4,1,1,1,3,2
50011010000032,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50011210000098,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
50011210000111,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50011210000147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
50011210000157,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,2,2
50011310000052,0,0,0,1,2,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
50011310000073,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,3,1,1,1,3,2
50011610000014,7,5,5,3,3,4,5,5,4,2,1,1,0,3,4,1,3,3,2,3,3,3,3,4
50011610000052,3,3,3,3,3,3,3,4,5,7,11,7,5,9,10,13,6,2,2,3,2,3,3,3
50011610000073,31,30,30,30,30,30,30,30,30,30,29,30,30,30,30,30,30,31,31,31,31,30,32,31
50011710000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
50011710000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0
50011710000027,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50011710000030,0,1,1,1,1,0,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,2,2,2
50011710000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
50011710000039,1,1,1,1,1,1,1,1,1,1,1,1,6,4,5,6,6,5,4,1,1,3,3,1
50011710000041,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,0,0,0,0,0,0,0
50011710000050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50011710000058,1,2,0,0,0,0,0,0,1,1,1,3,14,19,8,10,8,11,11,6,6,3,5,1
50011710000063,1,1,1,1,1,1,1,1,0,1,2,2,1,4,0,0,3,3,5,6,5,5,3,1
50011710000064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
50011710000131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
50022210000011,20,19,18,18,18,18,18,17,16,16,15,15,15,16,16,17,18,18,18,17,19,19,19,18
50022210000039,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,4,2,0,0,0,0,0,0
50022210000040,3,1,1,1,1,1,1,2,2,2,2,2,0,1,2,1,2,1,1,1,1,3,4,3
50022210000045,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
50022210000065,8,8,9,13,13,14,14,13,0,0,0,0,2,3,6,4,2,0,2,5,3,5,9,8
50022210000071,1,1,2,2,2,1,1,1,0,0,0,1,1,1,2,2,1,1,0,0,0,0,0,0
50022210000079,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0
50022210000087,1,1,1,1,1,1,1,1,0,0,0,0,0,1,3,2,2,1,4,5,5,2,2,1
50022510000002,1,1,1,1,1,1,1,1,1,2,2,4,18,16,12,12,9,2,2,1,2,1,2,1
50022710000001,6,6,6,6,5,5,5,4,4,6,6,5,6,6,6,7,8,8,7,7,8,7,6,6
50023010000011,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
50023010000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50023010000040,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50023010000067,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
50023010000071,2,1,1,1,1,1,1,2,2,0,0,0,0,2,3,2,2,3,3,2,2,2,2,2
50023110000029,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
50023110000037,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
50023110000040,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,2,1
50023110000048,1,2,2,2,0,0,0,4,4,4,4,3,3,5,4,5,0,0,2,1,0,0,1,0
50023110000049,4,4,4,4,4,4,5,2,0,1,1,2,5,5,7,7,6,2,1,1,3,7,8,7
50023110000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0
50023210000002,2,6,4,3,3,6,7,3,5,9,10,9,4,4,3,2,1,1,2,4,5,4,2,2
50023210000031,17,16,16,16,16,16,16,16,17,15,14,14,15,12,14,16,15,15,15,16,15,16,15,17
50023510000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50023510000010,1,1,2,1,1,1,1,0,0,1,1,1,6,7,3,3,2,2,2,2,3,3,4,2
50023510000012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
50023510000027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
50023610000002,7,7,7,7,7,7,7,3,3,1,2,1,4,8,9,11,11,5,3,1,1,2,4,7
50023610000003,7,7,7,7,7,7,7,3,4,4,3,5,8,11,10,7,4,4,4,4,5,4,8,8
50023610000006,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1
50023610000007,6,6,6,7,7,7,5,2,3,3,6,6,6,6,7,5,5,3,0,4,8,4,3,4
50023610000009,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,1,1,1,1
50023610000011,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
50023610000013,9,9,9,9,9,9,9,0,0,0,0,0,0,5,8,13,14,7,7,5,6,8,10,9
50023610000014,1,1,1,1,1,1,1,2,4,3,3,6,7,7,4,3,3,4,4,4,2,2,2,1
50023610000018,0,0,0,0,0,0,0,0,1,4,6,7,5,3,3,4,2,3,4,4,2,0,0,0
50023610000019,1,1,1,1,1,1,2,2,2,0,0,0,0,0,2,2,2,1,2,2,2,1,1,0
50023610000021,0,0,0,0,0,0,0,0,0,3,5,4,2,2,1,2,1,2,2,1,2,1,0,0
50023610000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50023610000038,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
50023610000041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
50023610000044,2,2,2,2,2,2,2,2,1,1,2,2,2,3,3,3,3,1,0,1,1,1,1,2
50023610000047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
50023610000048,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
50023610000049,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,1,1,0,1,1,1,1,1,0
50023610000088,0,0,0,0,0,0,0,0,0,2,5,6,4,3,1,0,0,0,0,0,0,0,0,0
50023710000041,0,0,0,0,0,0,0,0,0,1,2,2,0,2,2,2,1,1,1,1,2,1,0,0
